Nome: Cesar, Idade: 54, Data: 2015_7_27_20_41_14
button, timeStamp, view
A,0.867,1
Next,1.144,1
C,1.674,2
Next,1.891,2
A,3.249,3
Next,3.689,3
B,4.235,4
Next,4.639,4
Back,5.253,5
Back,5.916,4
B,6.604,3
Next,7.019,3
Next,7.7,4
C,8.254,5
Next,8.514,5
B,9.099,6
Next,9.33,6
Back,9.789,7
Back,10.457,6
B,11.107,5
Next,11.499,5
Next,12.058,6
A,12.807,7
Next,13.095,7
A,13.633,8
Next,13.877,8
C,14.474,9
Next,14.726,9
Back,15.217,10
Back,15.586,9
B,16.407,8
Next,16.67,8
Next,17.552,9
B,18.316,10
Next,18.546,10
B,18.98,11
Next,19.35,11
C,19.923,12
Next,20.21,12
Back,20.601,13
Back,20.903,12
A,21.639,11
Next,22.053,11
Next,22.477,12
A,23.145,13
Next,23.404,13
B,23.95,14
Next,24.242,14
C,24.895,15
Next,25.37,15
A,25.931,16
Next,26.275,16
B,26.921,17
Next,27.168,17
C,27.781,18
Next,28.05,18
A,28.688,19
Next,29.112,19
B,29.739,20
