Nome: Raul, Idade: 19, Data: 2015_7_27_20_59_40
button, timeStamp, view
A,1.827,1
Next,2.271,1
C,2.97,2
Next,6.329,2
Next,7.038,3
A,7.639,4
Next,7.872,4
C,8.414,5
Next,8.603,5
B,9.143,6
Next,9.385,6
A,9.905,7
B,10.201,7
Next,12.285,7
A,12.854,8
Next,13.078,8
C,13.663,9
Next,13.892,9
A,14.425,10
Next,14.644,10
B,15.219,11
Next,15.437,11
Back,16.282,12
Back,16.627,11
Back,16.918,10
Back,17.263,9
Back,17.557,8
Back,17.878,7
Back,18.285,6
Back,18.818,5
Back,19.412,4
A,20.372,3
Next,22.041,3
Next,22.542,4
Next,22.771,5
Next,22.959,6
Next,23.137,7
Next,23.617,8
Next,24.003,9
Next,24.451,10
Next,25.036,11
A,25.687,12
Next,25.873,12
A,26.449,13
Next,26.656,13
B,27.226,14
Next,27.418,14
C,27.923,15
Next,28.143,15
Next,28.936,16
Back,29.625,17
B,30.159,16
Next,30.543,16
A,31.05,17
Next,31.191,17
C,31.682,18
Next,31.951,18
A,32.506,19
Next,32.682,19
B,33.377,20
